moisture,species,row
0.27,alder,1
0.27,birch,1
0.25,birch,1
0.25,alder,1
0.21,alder,1
0.24,alder,1
0.22,alder,1
0.27,pine,1
0.24,alder,1
0.21,alder,1
0.25,birch,1
0.22,birch,1
0.22,alder,1
0.27,birch,1
0.24,alder,2
0.27,pine,2
0.24,alder,2
0.24,alder,2
0.21,alder,2
0.27,pine,2
0.2,alder,2
0.24,birch,2
0.24,alder,2
0.2,alder,2
0.24,birch,2
0.27,alder,2
0.22,alder,2
0.21,alder,2
0.22,alder,2
0.24,alder,3
0.2,alder,3
0.21,alder,3
0.27,alder,3
0.22,birch,3
0.27,alder,3
0.24,alder,3
0.22,alder,3
0.22,birch,3
0.2,alder,3
0.24,birch,3
0.19,alder,3
0.27,birch,3
0.24,birch,3
0.24,birch,3
0.25,alder,4
0.21,alder,4
0.2,alder,4
0.22,birch,4
0.24,alder,4
0.24,birch,4
0.18,birch,4
0.27,birch,4
0.14,alder,4
0.24,alder,4
0.16,alder,4
0.2,alder,4
0.15,alder,4
0.19,birch,4
0.18,birch,4
0.15,birch,4
0.2,alder,4
